t,RD,RD_LCL,RD_UCL,RR,RR_LCL,RR_UCL,,,
0,0,0,0,1,1,1,,,
1,4.70E-05,-0.000197,0.00029,1.32983,0.29766,5.941166,-1.211803383,1.78190541,1.329829866
2,-0.000283,-0.000674,0.000108,0.498622,0.187173,1.328311,-1.675721956,0.28390821,0.498622056
3,-0.000378,-0.000829,7.40E-05,0.498632,0.213444,1.164864,-1.544380776,0.152604342,0.498631358
4,-0.000284,-0.000771,0.000204,0.64543,0.302393,1.377611,-1.196027783,0.32035084,0.64543003
5,-0.000237,-0.000798,0.000323,0.76009,0.396749,1.456177,-0.92445144,0.375814508,0.760089974
6,-9.60E-05,-0.000693,0.000501,0.907113,0.495224,1.661582,-0.702745094,0.507770161,0.907113711
7,-0.000191,-0.000816,0.000434,0.838086,0.469309,1.496643,-0.756493879,0.4032246,0.838085932
8,-0.000191,-0.000856,0.000474,0.855181,0.495924,1.47469,-0.70133259,0.388447798,0.855180778
9,-0.000333,-0.001041,0.000375,0.785885,0.470215,1.313472,-0.754565242,0.272674013,0.785884366
10,-0.000381,-0.001141,0.00038,0.787424,0.488066,1.270396,-0.717304636,0.239328663,0.787424342
11,-0.000429,-0.001227,0.00037,0.783636,0.496907,1.235815,-0.699352393,0.211730671,0.783635836
12,-0.000524,-0.001354,0.000307,0.758713,0.489021,1.177139,-0.715349846,0.163086918,0.758713181
13,-0.000714,-0.001575,0.000147,0.703585,0.459415,1.077527,-0.777801338,0.074668601,0.703585152
14,-0.000856,-0.001742,2.90E-05,0.670352,0.442081,1.016492,-0.816262156,0.016357484,0.670351997
15,-0.000999,-0.001899,-9.90E-05,0.635448,0.420895,0.959372,-0.865371883,-0.041476375,0.635448564
16,-0.001333,-0.002267,-0.0004,0.566363,0.378432,0.84762,-0.971718879,-0.165322857,0.566362545
17,-0.001477,-0.002425,-0.00053,0.541045,0.362691,0.807106,-1.014204047,-0.214300269,0.541045361
18,-0.001429,-0.002381,-0.000477,0.555954,0.373966,0.826507,-0.983590395,-0.190546892,0.5559546
19,-0.001478,-0.002434,-0.000521,0.54773,0.368814,0.813439,-0.997462827,-0.20648434,0.547729579
20,-0.001575,-0.002541,-0.000608,0.531933,0.358889,0.788411,-1.024742131,-0.237735751,0.53193236
21,-0.001624,-0.002604,-0.000643,0.530971,0.360111,0.782897,-1.021342962,-0.244754137,0.530970641
22,-0.00177,-0.002764,-0.000776,0.509369,0.346388,0.749035,-1.060195745,-0.288969568,0.509368958
23,-0.001869,-0.002872,-0.000866,0.495814,0.337738,0.727877,-1.085484832,-0.317623201,0.495814201
24,-0.002118,-0.003144,-0.001091,0.464636,0.31773,0.679467,-1.146553313,-0.386446612,0.464636471
25,-0.002368,-0.003418,-0.001319,0.436938,0.299828,0.636749,-1.204546302,-0.451379736,0.436938416
26,-0.002419,-0.003473,-0.001365,0.431755,0.296464,0.628786,-1.215829484,-0.463964303,0.431755038
27,-0.002521,-0.003603,-0.001439,0.434784,0.30122,0.627572,-1.199914384,-0.465896874,0.434784128
28,-0.002727,-0.003827,-0.001627,0.415624,0.288615,0.598526,-1.242661659,-0.513285313,0.415624327
29,-0.003038,-0.004166,-0.00191,0.389663,0.271445,0.559367,-1.303995738,-0.580949492,0.389663156
30,-0.00309,-0.004223,-0.001957,0.385619,0.268761,0.553288,-1.31393277,-0.591876617,0.385619289
31,-0.003353,-0.004509,-0.002198,0.366455,0.256003,0.52456,-1.362566116,-0.645195463,0.366454545
32,-0.003459,-0.004633,-0.002285,0.365454,0.256432,0.520826,-1.360891757,-0.652339266,0.365453763
33,-0.003619,-0.004807,-0.002432,0.35502,0.249424,0.50532,-1.388601019,-0.682563387,0.355019627
34,-0.003942,-0.005157,-0.002727,0.335722,0.236419,0.476734,-1.442149624,-0.740796596,0.335721574
35,-0.00405,-0.005275,-0.002826,0.329704,0.232352,0.467846,-1.459501816,-0.759616097,0.329704343
36,-0.004214,-0.005452,-0.002976,0.321009,0.226463,0.455026,-1.485173703,-0.787400719,0.321008649
37,-0.004324,-0.005571,-0.003076,0.315438,0.222684,0.446825,-1.502001553,-0.80558826,0.31543744
