t,RD,RD_fake,RD_LCL,RD_LCL_fake,RD_UCL,RD_UCL_fake,,RR,RR_LCL,RR_UCL
0,0,0,0,0.00E+00,0,0.00E+00,FALSE,1,1,1
1,4.70E-05,0.00047,-0.000197,-6.85E-04,0.00029,7.76E-04,TRUE,1.32983,0.29766,5.941166
2,-0.000283,-0.00283,-0.000674,-1.46E-03,0.000108,8.90E-04,TRUE,0.498622,0.187173,1.328311
3,-0.000378,-0.00378,-0.000829,-1.73E-03,7.40E-05,9.78E-04,TRUE,0.498632,0.213444,1.164864
4,-0.000284,-0.00284,-0.000771,-1.75E-03,0.000204,1.18E-03,TRUE,0.64543,0.302393,1.377611
5,-0.000237,-0.00237,-0.000798,-1.92E-03,0.000323,1.44E-03,TRUE,0.76009,0.396749,1.456177
6,-9.60E-05,-0.00096,-0.000693,-1.89E-03,0.000501,1.70E-03,TRUE,0.907113,0.495224,1.661582
7,-0.000191,-0.00191,-0.000816,-2.07E-03,0.000434,1.68E-03,TRUE,0.838086,0.469309,1.496643
8,-0.000191,-0.00191,-0.000856,-2.19E-03,0.000474,1.80E-03,TRUE,0.855181,0.495924,1.47469
9,-0.000333,-0.00333,-0.001041,-2.46E-03,0.000375,1.79E-03,TRUE,0.785885,0.470215,1.313472
10,-0.000381,-0.00381,-0.001141,-2.66E-03,0.00038,1.90E-03,TRUE,0.787424,0.488066,1.270396
11,-0.000429,-0.00429,-0.001227,-2.82E-03,0.00037,1.97E-03,TRUE,0.783636,0.496907,1.235815
12,-0.000524,-0.00524,-0.001354,-3.01E-03,0.000307,1.97E-03,TRUE,0.758713,0.489021,1.177139
13,-0.000714,-0.00714,-0.001575,-3.30E-03,0.000147,1.87E-03,TRUE,0.703585,0.459415,1.077527
14,-0.000856,-0.00856,-0.001742,-3.51E-03,2.90E-05,1.80E-03,TRUE,0.670352,0.442081,1.016492
15,-0.000999,-0.00999,-0.001899,-3.70E-03,-9.90E-05,1.70E-03,TRUE,0.635448,0.420895,0.959372
16,-0.001333,-0.01333,-0.002267,-4.14E-03,-0.0004,1.47E-03,TRUE,0.566363,0.378432,0.84762
17,-0.001477,-0.01477,-0.002425,-4.32E-03,-0.00053,1.36E-03,TRUE,0.541045,0.362691,0.807106
18,-0.001429,-0.01429,-0.002381,-4.29E-03,-0.000477,1.43E-03,TRUE,0.555954,0.373966,0.826507
19,-0.001478,-0.01478,-0.002434,-4.35E-03,-0.000521,1.39E-03,TRUE,0.54773,0.368814,0.813439
20,-0.001575,-0.01575,-0.002541,-4.47E-03,-0.000608,1.33E-03,TRUE,0.531933,0.358889,0.788411
21,-0.001624,-0.01624,-0.002604,-4.56E-03,-0.000643,1.32E-03,TRUE,0.530971,0.360111,0.782897
22,-0.00177,-0.0177,-0.002764,-4.75E-03,-0.000776,1.21E-03,TRUE,0.509369,0.346388,0.749035
23,-0.001869,-0.01869,-0.002872,-4.88E-03,-0.000866,1.14E-03,TRUE,0.495814,0.337738,0.727877
24,-0.002118,-0.02118,-0.003144,-5.20E-03,-0.001091,9.63E-04,TRUE,0.464636,0.31773,0.679467
25,-0.002368,-0.02368,-0.003418,-5.52E-03,-0.001319,7.79E-04,TRUE,0.436938,0.299828,0.636749
26,-0.002419,-0.02419,-0.003473,-5.58E-03,-0.001365,7.43E-04,TRUE,0.431755,0.296464,0.628786
27,-0.002521,-0.02521,-0.003603,-5.77E-03,-0.001439,7.25E-04,TRUE,0.434784,0.30122,0.627572
